127.0.0.1 - - [13/Jan/2019:01:49:06 +0530] "GET / HTTP/1.1" 404 951
172.16.129.121 - - [13/Jan/2019:02:00:40 +0530] "GET /app/webapi/club_CAMP_image HTTP/1.1" 404 967
172.16.129.121 - - [13/Jan/2019:02:05:43 +0530] "GET /app/webapi/club_CAMP_image HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [13/Jan/2019:02:06:44 +0530] "GET /app/webapi/club_CAMP_image HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [13/Jan/2019:02:08:37 +0530] "GET /app/webapi/club_CAMP_image HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [13/Jan/2019:02:09:22 +0530] "GET /app/webapi/profiles HTTP/1.1" 500 4180
0:0:0:0:0:0:0:1 - - [13/Jan/2019:02:09:32 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.129.121 - - [13/Jan/2019:02:10:58 +0530] "GET /app/webapi/clubs/1 HTTP/1.1" 200 132
172.16.128.82 - - [13/Jan/2019:02:17:50 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [13/Jan/2019:02:17:50 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [13/Jan/2019:02:17:53 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:02:17:53 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:02:18:01 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:02:18:14 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:02:18:52 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:02:18:56 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [13/Jan/2019:02:18:56 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:02:18:57 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:02:19:02 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:02:24:36 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:03:02:19 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:03:02:19 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [13/Jan/2019:03:02:19 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [13/Jan/2019:03:02:19 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:03:02:23 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:03:07:30 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:03:53:26 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [13/Jan/2019:03:53:26 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:03:53:26 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [13/Jan/2019:03:53:26 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:03:53:31 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:03:58:37 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:04:11:05 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [13/Jan/2019:04:11:05 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:04:11:07 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:04:16:12 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:04:46:57 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:04:46:57 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [13/Jan/2019:04:46:57 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [13/Jan/2019:04:46:58 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
